,Fecha,evapotranspiration,gross_primary_productivity,EMA 1,EMA 2,Evento extremo
320,2007-12-23,2.685,7.497,2.983229153175085,6.403438721033959,0
321,2007-12-31,3.334,6.785,3.0470056908934735,6.472813471284532,0
322,2008-01-05,2.413,5.518,2.931731948333119,6.2992110448482554,0
323,2008-01-13,2.809,5.499,2.9094170514105135,6.153718140781163,0
324,2008-01-21,3.71,5.42,3.054977594453506,6.020314856328941,0
325,2008-01-29,3.843,5.332,3.198254383671077,5.895166660405053,0
326,2008-02-06,2.356,4.425,3.04511721329347,5.6278636659195636,0
327,2008-02-14,3.217,7.446,3.0763686304454563,5.9584339265127575,0
328,2008-02-22,3.05,7.646,3.071574325331061,6.265264105046305,0
329,2008-03-01,4.244,6.13,3.284742622186928,6.240670652208962,0
330,2008-03-09,3.493,6.952,3.3226076055197735,6.370003286560751,0
331,2008-03-17,3.114,6.288,3.284678964882722,6.355093617515436,0
332,2008-03-25,3.679,8.49,3.3563736805072946,6.743258372715933,1
333,2008-04-02,4.032,7.1,3.479214841296851,6.808120469428049,0
334,2008-04-10,2.577,5.353,3.3151757615565542,6.543553141174219,0
335,2008-04-18,2.907,6.811,3.240961998518973,6.592179819197142,0
336,2008-04-26,3.076,6.339,3.2109689033708815,6.54614716571896,0
337,2008-05-04,2.564,5.582,3.0933381739000168,6.370847640815068,0
338,2008-05-12,2.682,6.162,3.018549400790688,6.332875375083377,0
339,2008-05-20,2.293,6.116,2.8866313247985373,6.293443520609322,0
340,2008-05-28,3.113,5.848,2.927789250485469,6.212453798606003,0
341,2008-06-05,2.388,5.688,2.829645752477946,6.11709859925563,0
342,2008-06-13,2.893,5.856,2.841164686112216,6.069626116953559,0
343,2008-06-21,2.339,5.942,2.7498620134824603,6.046421352464178,0
344,2008-06-29,1.826,6.285,2.5818870974319164,6.08979926063653,0
345,2008-07-07,1.9599999,5.499,2.468816701342056,5.982381226426116,0
346,2008-07-15,2.487,6.718,2.4721227535627563,6.116130082557759,0
347,2008-07-23,3.482,7.307,2.655736818830177,6.332651914859491,0
348,2008-07-31,3.042,6.333,2.72596649819071,6.3327152363587595,0
349,2008-08-08,3.099,7.435,2.793790767085457,6.533130637526175,0
350,2008-08-16,3.507,6.194,2.9234651675212686,6.471470479303865,0
351,2008-08-24,2.826,5.827,2.9057442234636683,6.354294054183853,0
352,2008-09-01,3.35,5.66,2.9865179836761957,6.228058743861718,0
353,2008-09-09,3.509,4.862,3.0815147253609796,5.979684424715206,0
354,2008-09-17,3.503,6.465,3.15814841547368,6.067923647964786,0
355,2008-09-25,3.267,6.716,3.1779396053776794,6.185755726536396,0
356,2008-10-03,3.723,6.147,3.2770415043255676,6.178709200978508,0
357,2008-10-11,3.282,7.093,3.2779430607845286,6.344943879918807,0
358,2008-10-19,3.396,6.628,3.2994079421777536,6.396408589490343,0
359,2008-10-27,3.021,6.778,3.2487882996813013,6.4657888237520424,0
360,2008-11-04,2.69,6.416,3.1471904374156936,6.456736290228723,0
361,2008-11-12,3.164,6.173,3.150246727764163,6.4051478481609925,0
362,2008-11-20,2.1859999,6.23,2.9749291173161865,6.3733027883269004,0
363,2008-11-28,3.061,7.179,2.990578388480311,6.519793172416168,0
364,2008-12-06,2.893,6.335,2.9728368428414242,6.486194420730859,0
365,2008-12-14,3.187,6.765,3.0117756052774607,6.536886319958993,0
366,2008-12-22,2.36,6.411,2.8932709306989812,6.513997857226968,0
367,2008-12-30,2.597,5.933,2.8394034675994817,6.408361899138071,0
368,2009-01-05,2.61,6.872,2.7976937271442712,6.492659775192557,0
369,2009-01-13,2.17,6.399,2.6835676088078486,6.475630755675126,0
370,2009-01-21,3.088,7.623,2.7571007815932957,6.684243371908465,0
371,2009-01-29,3.121,6.08,2.823264285212408,6.574380926780755,0
372,2009-02-06,3.373,6.201,2.9232162163628646,6.506493524388444,0
373,2009-02-14,2.574,6.757,2.8597223373413225,6.552040150769167,0
374,2009-02-22,3.442,6.952,2.9655909873268937,6.6247601490191,0
375,2009-03-02,3.1,7.786,2.9900289722915616,6.835894626457967,0
376,2009-03-10,3.1,7.479,3.010023687262654,6.952822892838834,0
377,2009-03-18,2.945,7.139,2.9982011865317713,6.986673264861746,0
378,2009-03-26,2.534,6.741,2.9138009562335143,6.942005430427987,0
379,2009-04-03,3.334,7.309,2.990200802486734,7.008731718579042,0
380,2009-04-11,2.869,6.373,2.9681642853142973,6.8931441597389425,0
381,2009-04-19,3.484,6.629,3.0619525911798933,6.845117982862802,0
382,2009-04-27,2.613,6.004,2.980324832070214,6.692187474509596,0
383,2009-05-05,3.227,5.962,3.025174862256111,6.559426096087574,0
384,2009-05-13,3.26,6.68,3.067870340111956,6.581348592860492,0
385,2009-05-21,2.841,6.436,3.0266212019295353,6.554921552395,0
386,2009-05-29,3.546,5.481,3.121053711363201,6.3596630786130435,0
387,2009-06-06,2.0,5.4900002,2.9172257638426187,6.201542563948004,0
388,2009-06-14,2.377,5.132,2.819002914682158,6.007080274045171,0
389,2009-06-22,2.355,4.845,2.7346387518442175,5.79579291334453,0
390,2009-06-30,2.751,5.733,2.7376135110581328,5.784375983942932,0
391,2009-07-08,2.834,5.499,2.7551383473432396,5.732489454585899,0
392,2009-07-16,2.798,6.092,2.762931392785338,5.797855009684716,0
393,2009-07-24,2.719,5.834,2.7549438852042725,5.804426846219536,0
394,2009-08-01,2.797,6.671,2.7625904390463045,5.961985602145929,0
395,2009-08-09,2.51,6.459,2.7166649029402956,6.052351876415074,0
396,2009-08-17,3.003,6.257,2.768725833493121,6.089560620609137,0
397,2009-08-25,3.231,5.96,2.8527756722387787,6.066004151070562,0
398,2009-09-02,3.073,5.097,2.8928164507814795,5.889821600343243,0
399,2009-09-10,2.299,5.873,2.7848498278749436,5.886763153909652,0
400,2009-09-18,2.976,6.056,2.8196044174562083,5.917533531870903,0
401,2009-09-26,3.974,6.017,3.0294945192117737,5.93561838032424,0
402,2009-10-04,2.721,7.236,2.9734045986516295,6.17205141318077,0
403,2009-10-12,3.399,6.385,3.0507855678837155,6.2107693796718735,0
404,2009-10-20,2.877,6.262,3.0191882088976003,6.22008405317214,0
405,2009-10-28,3.8669999,6.903,3.1733357826577184,6.344250566764421,0
406,2009-11-05,3.63,7.049,3.256365661163755,6.4723867885121535,0
407,2009-11-13,3.822,5.307,3.3592082730799597,6.26049831064036,0
408,2009-11-21,3.68,6.051,3.4175340537485495,6.22240773020677,0
