CodDependencia,Dependencia,Tipo de Inversión,CodBPIN,Nombre_proy_Ajustado,Comuna,NomComuna,Inversion,Año,Corte,Codigo Dependencia,Nombre Proyecto,Nombre Comuna
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,40344.0,PP DESACTIVACION DE LA AGRESION INTRAFAMILIAR,11.0,Laureles - Estadio,"65,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,80099.0,Contrucción Y Adecuación De Casas De Justicia Y De Gobierno,1.0,Popular,"337,750,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40312.0,Manual De Convivencia,8.0,Villa Hermosa,"27,818,700",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40198.0,Intervención Social En Las Cárceles,8.0,Villa Hermosa,"1,835,588",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50084.0,"PP Apoyo a la modernizacion, fortalecimiento y transformacion de los organimos de",16.0,Belén,"155,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40341.0,Fortalecimiento Y Asistencia A Derechos Humanos,8.0,Villa Hermosa,"11,637,142",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40342.0,Organizacion Y Capacitación De Vigilantes Informales,8.0,Villa Hermosa,"6,326,124",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40352.0,Diseño E Implementación De Una Estrategia De Desmovilizaión,11.0,Laureles - Estadio,"38,854,132",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40003.0,Control De Hidrocarburos,99.0,Toda la Ciudad,"140,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40352.0,Diseño E Implementación De Una Estrategia De Desmovilizaión,8.0,Villa Hermosa,"713,467,237",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40352.0,Diseño E Implementación De Una Estrategia De Desmovilizaión,70.0,Altavista,"135,989,463",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40049.0,Ciudadanía De La Noche,14.0,El Poblado,"21,500,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,40311.0,PP ORGANIZACIÓN CONTROL AUTOCONTROL DE VENTEROS EN EL ESPACIO PUBLICO,8.0,Villa Hermosa,"20,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50084.0,"PP Apoyo a la modernizacion, fortalecimiento y transformacion de los organimos de",12.0,La América,"147,950,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50061.0,PP FORTALECIMENTO Y ASISTENCIA A LOS DERECHOS HUMANOS,5.0,Castilla,"5,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40341.0,Fortalecimiento Y Asistencia A Derechos Humanos,13.0,San Javier,"115,859,428",2008.0,31-Dic-2008,,,
